[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | NOTIC: [8] Undefined variable: logoPic IndexAction.class.php 第 96 行.
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | NOTIC: [8] Undefined variable: data common.php 第 543 行.
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | SQL: SHOW COLUMNS FROM `mis_roll_announcement` [ 执行文件：E:\PHP\phpstudy\PHPTutorial\WWW\modelSys\Admin\Lib\Action\IndexAction.class.php，行号:82，运行时间:0.0008s ]
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | SQL: SHOW COLUMNS FROM `mis_roll_announcement` [ 执行文件：E:\PHP\phpstudy\PHPTutorial\WWW\modelSys\Admin\Lib\Action\IndexAction.class.php，行号:82，运行时间:0.0008s ]
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | NOTIC: [8] Undefined index: nodeActionName1 common.php 第 4027 行.
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | NOTIC: [8] Undefined index: nodeAuditId1 common.php 第 4029 行.
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | NOTIC: [2] mkdir() [<a href='function.mkdir'>function.mkdir</a>]: No such file or directory common.php 第 495 行.
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | NOTIC: [2] mkdir() [<a href='function.mkdir'>function.mkdir</a>]: No such file or directory common.php 第 495 行.
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | SQL: SELECT `content` FROM `mis_roll_announcement` WHERE status =1 and typeid=1 ORDER BY createtime desc  [ 执行文件：E:\PHP\phpstudy\PHPTutorial\WWW\modelSys\Admin\Lib\Action\IndexAction.class.php，行号:113，运行时间:0.0007s ]
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | SQL: SELECT `content` FROM `mis_roll_announcement` WHERE status =1 and typeid=1 ORDER BY createtime desc  [ 执行文件：E:\PHP\phpstudy\PHPTutorial\WWW\modelSys\Admin\Lib\Action\IndexAction.class.php，行号:113，运行时间:0.0007s ]
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | NOTIC: [2] Invalid argument supplied for foreach() IndexAction.class.php 第 115 行.
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | SQL: SHOW COLUMNS FROM `mis_message_user` [ 执行文件：E:\PHP\phpstudy\PHPTutorial\WWW\modelSys\Admin\Lib\Action\IndexAction.class.php，行号:113，运行时间:0.0006s ]
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | SQL: SHOW COLUMNS FROM `mis_message_user` [ 执行文件：E:\PHP\phpstudy\PHPTutorial\WWW\modelSys\Admin\Lib\Action\IndexAction.class.php，行号:113，运行时间:0.0006s ]
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | NOTIC: [8] Undefined index: nodeActionName1 common.php 第 4027 行.
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | NOTIC: [8] Undefined index: nodeAuditId1 common.php 第 4029 行.
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | NOTIC: [8] Undefined index: extendwhere Model.class.php 第 278 行.
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | SQL: SELECT COUNT(*) AS tp_count FROM `mis_message_user` WHERE ( `status` = 1 ) AND ( `commit` = 1 ) AND ( `readedStatus` = 0 ) AND ( `returnmessage` = 1 ) AND ( `recipient` = '1' ) AND ( `messageType` = 1 ) LIMIT 1   [ 执行文件：E:\PHP\phpstudy\PHPTutorial\WWW\modelSys\ThinkPHP\Lib\Core\Model.class.php，行号:295，运行时间:0.0006s ]
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | SQL: SELECT COUNT(*) AS tp_count FROM `mis_message_user` WHERE ( `status` = 1 ) AND ( `commit` = 1 ) AND ( `readedStatus` = 0 ) AND ( `returnmessage` = 1 ) AND ( `recipient` = '1' ) AND ( `messageType` = 1 ) LIMIT 1   [ 执行文件：E:\PHP\phpstudy\PHPTutorial\WWW\modelSys\ThinkPHP\Lib\Core\Model.class.php，行号:295，运行时间:0.0006s ]
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | NOTIC: [8] Undefined index: extendwhere Model.class.php 第 278 行.
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | NOTIC: [2] mkdir() [<a href='function.mkdir'>function.mkdir</a>]: No such file or directory common.php 第 495 行.
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | SQL: SELECT COUNT(*) AS tp_count FROM `mis_message_user` WHERE ( `status` = 1 ) AND ( `commit` = 1 ) AND ( `readedStatus` = 0 ) AND ( `returnmessage` = 1 ) AND ( `recipient` = '1' ) AND ( `messageType` = 0 ) LIMIT 1   [ 执行文件：E:\PHP\phpstudy\PHPTutorial\WWW\modelSys\ThinkPHP\Lib\Core\Model.class.php，行号:295，运行时间:0.0006s ]
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | SQL: SELECT COUNT(*) AS tp_count FROM `mis_message_user` WHERE ( `status` = 1 ) AND ( `commit` = 1 ) AND ( `readedStatus` = 0 ) AND ( `returnmessage` = 1 ) AND ( `recipient` = '1' ) AND ( `messageType` = 0 ) LIMIT 1   [ 执行文件：E:\PHP\phpstudy\PHPTutorial\WWW\modelSys\ThinkPHP\Lib\Core\Model.class.php，行号:295，运行时间:0.0006s ]
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | SQL: SHOW COLUMNS FROM `mis_system_menu` [ 执行文件：E:\PHP\phpstudy\PHPTutorial\WWW\modelSys\ThinkPHP\Lib\Core\Model.class.php，行号:295，运行时间:0.0011s ]
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | SQL: SHOW COLUMNS FROM `mis_system_menu` [ 执行文件：E:\PHP\phpstudy\PHPTutorial\WWW\modelSys\ThinkPHP\Lib\Core\Model.class.php，行号:295，运行时间:0.0011s ]
[ 2018-07-27T16:43:49+08:00 ] /modelSys/Admin/index.php/Index/index | NOTIC: [8] Undefined index: nodeActionName1 common.php 第 4027 行.
